Data_Referencia,COGNOM,Valor,ORDRE_COGNOM
2024-01-01,GARCIA,31505,2
2024-01-01,GARCIA,30727,1
2024-01-01,MARTINEZ,22229,2
2024-01-01,LOPEZ,22065,2
2024-01-01,MARTINEZ,21891,1
2024-01-01,LOPEZ,21247,1
2024-01-01,RODRIGUEZ,20132,2
2024-01-01,RODRIGUEZ,19304,1
2024-01-01,PEREZ,19017,2
2024-01-01,GONZALEZ,18788,2
2024-01-01,GONZALEZ,18161,1
2024-01-01,FERNANDEZ,17929,2
2024-01-01,PEREZ,17853,1
2024-01-01,SANCHEZ,17523,2
2024-01-01,FERNANDEZ,17418,1
2024-01-01,SANCHEZ,16822,1
2024-01-01,GOMEZ,11226,2
2024-01-01,GOMEZ,10810,1
2024-01-01,HERNANDEZ,8699,2
2024-01-01,HERNANDEZ,8450,1
2024-01-01,RUIZ,8391,2
2024-01-01,MARTIN,8189,2
2024-01-01,MARTIN,8141,1
2024-01-01,RUIZ,8111,1
2024-01-01,DIAZ,7441,1
2024-01-01,DIAZ,7358,2
2024-01-01,MORENO,6636,2
2024-01-01,ALVAREZ,6435,2
2024-01-01,MUÑOZ,6435,2
2024-01-01,JIMENEZ,6430,1
2024-01-01,MORENO,6385,1
2024-01-01,MUÑOZ,6294,1
2024-01-01,JIMENEZ,6279,2
2024-01-01,ALVAREZ,6119,1
2024-01-01,NAVARRO,5216,2
2024-01-01,TORRES,5162,1
2024-01-01,TORRES,5150,2
2024-01-01,NAVARRO,5060,1
2024-01-01,ROMERO,5011,2
2024-01-01,ROMERO,4954,1
2024-01-01,GUTIERREZ,4483,2
2024-01-01,GUTIERREZ,4354,1
2024-01-01,RAMIREZ,4286,1
2024-01-01,RAMIREZ,4177,2
2024-01-01,GIL,3854,1
2024-01-01,GIL,3803,2
2024-01-01,ALONSO,3744,1
2024-01-01,ALONSO,3586,2
2024-01-01,RAMOS,3498,1
2024-01-01,RAMOS,3431,2
2024-01-01,FERRER,3381,1
2024-01-01,CASTRO,3347,2
2024-01-01,CASTRO,3291,1
2024-01-01,FERRER,3276,2
2024-01-01,MOLINA,3264,2
2024-01-01,VIDAL,3242,2
2024-01-01,VIDAL,3231,1
2024-01-01,FLORES,3212,2
2024-01-01,SERRANO,3205,1
2024-01-01,MOLINA,3172,1
2024-01-01,ORTIZ,3144,2
2024-01-01,SERRANO,3124,2
2024-01-01,FLORES,3106,1
2024-01-01,GIMENEZ,3102,2
2024-01-01,CASTILLO,3071,2
2024-01-01,CASTILLO,3058,1
2024-01-01,ORTIZ,3039,1
2024-01-01,DOMINGUEZ,3011,2
2024-01-01,MORALES,2996,1
2024-01-01,MORALES,2986,2
2024-01-01,MARIN,2953,1
2024-01-01,MARTI,2940,1
2024-01-01,VAZQUEZ,2914,1
2024-01-01,GIMENEZ,2904,1
2024-01-01,VAZQUEZ,2877,2
2024-01-01,MARIN,2869,2
2024-01-01,DOMINGUEZ,2867,1
2024-01-01,SOLER,2736,1
2024-01-01,MARTI,2722,2
2024-01-01,ORTEGA,2704,2
2024-01-01,RUBIO,2690,1
2024-01-01,MEDINA,2646,2
2024-01-01,DELGADO,2639,1
2024-01-01,DELGADO,2628,2
2024-01-01,ORTEGA,2628,1
2024-01-01,VILA,2626,1
2024-01-01,MEDINA,2605,1
2024-01-01,SOLER,2600,2
2024-01-01,RUBIO,2579,2
2024-01-01,NUÑEZ,2528,1
2024-01-01,BLANCO,2512,2
2024-01-01,SERRA,2512,1
2024-01-01,NUÑEZ,2502,2
2024-01-01,BLANCO,2431,1
2024-01-01,SINGH,2412,1
2024-01-01,SERRA,2408,2
2024-01-01,MENDEZ,2395,1
2024-01-01,CRUZ,2394,2
2024-01-01,CRUZ,2382,1
2024-01-01,SANZ,2372,1
2024-01-01,MENDEZ,2360,2
2024-01-01,AGUILAR,2356,1
2024-01-01,ROJAS,2354,1
2024-01-01,PUIG,2350,1
2024-01-01,SANZ,2336,2
2024-01-01,VILA,2303,2
2024-01-01,ALI,2278,1
2024-01-01,AGUILAR,2260,2
2024-01-01,ROCA,2257,1
2024-01-01,PASCUAL,2254,1
2024-01-01,CORTES,2234,1
2024-01-01,ROCA,2222,2
2024-01-01,CORTES,2217,2
2024-01-01,PASCUAL,2154,2
2024-01-01,PUIG,2151,2
2024-01-01,ROJAS,2147,2
2024-01-01,PEÑA,2144,2
2024-01-01,REYES,2137,2
2024-01-01,SUAREZ,2113,1
2024-01-01,HERRERA,2108,1
2024-01-01,AHMED,2074,1
2024-01-01,REYES,2073,1
2024-01-01,PEÑA,2056,1
2024-01-01,CHEN,2044,1
2024-01-01,SANTOS,2016,2
2024-01-01,CAMPOS,1993,1
2024-01-01,GUERRERO,1987,2
2024-01-01,VARGAS,1984,2
2024-01-01,VARGAS,1973,1
2024-01-01,DURAN,1970,1
2024-01-01,HERRERA,1958,2
